Warning: truncated output (original token count: 62438)
Total output lines: 1000

1.475278019905090332e+00,7.203777432441711426e-01,1.093986272811889648e+00,1.172612667083740234e+00,4.813674092292785645e-01,1.050048828125000000e+00,1.587422013282775879e+00,1.208936333656311035e+00,1.814366817474365234e+00,4.148805141448974609e-01
2.182166337966918945e+00,1.447325229644775391e+00,1.674493074417114258e+00,1.778596758842468262e+00,1.117012858390808105e+00,2.002455711364746094e+00,2.572614192962646484e+00,2.613703727722167969e+00,3.273492813110351562e+00,4.895514249801635742e-01
2.966060638427734375e+00,2.252043485641479492e+00,2.315577507019042969e+00,2.451208114624023438e+00,1.817546367645263672e+00,3.044039964675903320e+00,3.650410652160644531e+00,4.142024517059326172e+00,4.860698223114013672e+00,5.663840174674987793e-01
3.790296554565429688e+00,3.096813201904296875e+00,2.987779140472412109e+00,3.158321619033813477e+00,2.551217079162597656e+00,4.129109382629394531e+00,4.773599147796630859e+00,5.728409767150878906e+00,6.508275032043457031e+00,6.452301144599914551e-01
4.637772560119628906e+00,3.964258193969726562e+00,3.677563428878784180e+00,3.885079622268676758e+00,3.303568124771118164e+00,5.237733840942382812e+00,5.921431541442871094e+00,7.344933509826660156e+00,8.187314987182617188e+00,7.259418964385986328e-01
5.499059677124023438e+00,4.844872951507568359e+00,4.377539634704589844e+00,4.623351097106933594e+00,4.066734790802001953e+00,6.359301567077636719e+00,7.082818984985351562e+00,8.976960182189941406e+00,9.882626533508300781e+00,8.083760142326354980e-01
6.368394374847412109e+00,5.732884883880615234e+00,5.083222866058349609e+00,5.368196487426757812e+00,4.835949420928955078e+00,7.487462043762207031e+00,8.251112937927246094e+00,1.061584663391113281e+01,1.158521556854248047e+01,8.923955559730529785e-01
7.241992950439453125e+00,6.624527931213378906e+00,5.791686534881591797e+00,6.116390705108642578e+00,5.608098983764648438e+00,8.618105888366699219e+00,9.422012329101562500e+00,1.225607013702392578e+01,1.328932189941406250e+01,9.778707027435302734e-01
8.117239952087402344e+00,7.517213821411132812e+00,6.500917434692382812e+00,6.865714550018310547e+00,6.381038188934326172e+00,9.748423576354980469e+00,1.059257507324218750e+01,1.389389610290527344e+01,1.499104499816894531e+01,1.064678668975830078e+00
8.992254257202148438e+00,8.409092903137207031e+00,7.209475040435791016e+00,7.614579677581787109e+00,7.153228759765625000e+00,1.087641239166259766e+01,1.176070880889892578e+01,1.552669334411621094e+01,1.668763351440429688e+01,1.152704000473022461e+00
9.865641593933105469e+00,9.298803329467773438e+00,7.916296005249023438e+00,8.361812591552734375e+00,7.923532009124755859e+00,1.200059890747070312e+01,1.292487716674804688e+01,1.715255355834960938e+01,1.837708663940429688e+01,1.241838097572326660e+00
1.073634529113769531e+01,1.018531799316406250e+01,8.620577812194824219e+00,9.106529235839843750e+00,8.691085815429687500e+00,1.311987781524658203e+01,1.408392620086669922e+01,1.877005577087402344e+01,2.005791854858398438e+01,1.331979155540466309e+00
1.160354614257812500e+01,1.106784629821777344e+01,9.321701049804687500e+00,9.848045349121093750e+00,9.455224037170410156e+00,1.423339843750000000e+01,1.523697090148925781e+01,2.037812232971191406e+01,2.172899818420410156e+01,1.423031330108642578e+00
1.246660137176513672e+01,1.194577217102050781e+01,1.001918125152587891e+01,1.058582782745361328e+01,1.021542453765869141e+01,1.534049797058105469e+01,1.638332366943359375e+01,2.197592544555664062e+01,2.338945960998535156e+01,1.514904856681823730e+00
1.332500267028808594e+01,1.281861209869384766e+01,1.071263790130615234e+01,1.131945514678955078e+01,1.097127342224121094e+01,1.644065856933593750e+01,1.752244758605957031e+01,2.356282806396484375e+01,2.503863143920898438e+01,1.607515692710876465e+00
1.417833805084228516e+01,1.368597698211669922e+01,1.140176391601562500e+01,1.204858779907226562e+01,1.172243881225585938e+01,1.753346633911132812e+01,1.865391349792480469e+01,2.513832664489746094e+01,2.667598342895507812e+01,1.700784683227539062e+00
1.502627849578857422e+01,1.454755783081054688e+01,1.208631610870361328e+01,1.277295684814453125e+01,1.246865463256835938e+01,1.861859321594238281e+01,1.977738571166992188e+01,2.670203208923339844e+01,2.830110549926757812e+01,1.794637799263000488e+00
1.586855792999267578e+01,1.540310859680175781e+01,1.276609802246093750e+01,1.349234485626220703e+01,1.320970630645751953e+01,1.969577980041503906e+01,2.089259338378906250e+01,2.825364112854003906e+01,2.991368103027343750e+01,1.889005780220031738e+00
1.670495605468750000e+01,1.625242614746093750e+01,1.344094848632812500e+01,1.420657348632812500e+01,1.394541740417480469e+01,2.076481246948242188e+01,2.199932098388671875e+01,2.979291152954101562e+01,3.151345443725585938e+01,1.983823060989379883e+00
1.753529739379882812e+01,1.709535217285156250e+01,1.411074161529541016e+01,1.491550254821777344e+01,1.467565059661865234e+01,2.182552909851074219e+01,2.309739875793457031e+01,3.131966209411621094e+01,3.310023880004882812e+01,2.079028844833374023e+00
1.835943603515625000e+01,1.793175506591796875e+01,1.477537250518798828e+01,1.561901473999023438e+01,1.540028858184814453e+01,2.287779617309570312e+01,2.418669128417968750e+01,3.283375167846679688e+01,3.467387771606445312e+01,2.174565315246582031e+00
1.917725753784179688e+01,1.876153564453125000e+01,1.543476009368896484e+01,1.631701850891113281e+01,1.611924362182617188e+01,2.392151260375976562e+01,2.526709747314453125e+01,3.433508300781250000e+01,3.623427200317382812e+01,2.270378589630126953e+00
1.998867034912109375e+01,1.958461380004882812e+01,1.608884048461914062e+01,1.700944328308105469e+01,1.683244323730468750e+01,2.495660209655761719e+01,2.633853912353515625e+01,3.582358169555664062e+01,3.778134155273437500e+01,2.366418361663818359e+00
2.079359626770019531e+01,2.040092468261718750e+01,1.673756217956542969e+01,1.769622993469238281e+01,1.753982925415039062e+01,2.598300361633300781e+01,2.740095329284667969e+01,3.729919815063476562e+01,3.931503295898437500e+01,2.462636470794677734e+00
2.159198188781738281e+01,2.121042442321777344e+01,1.738088798522949219e+01,1.837733840942382812e+01,1.824136161804199219e+01,2.700067901611328125e+01,2.845430564880371094e+01,3.876190948486328125e+01,4.083532333374023438e+01,2.558988571166992188e+00
2.238377952575683594e+01,2.201307868957519531e+01,1.801879119873046875e+01,1.905273246765136719e+01,1.893700599670410156e+01,2.800959968566894531e+01,2.949856567382812500e+01,4.021170425415039062e+01,4.234219741821289062e+01,2.655432224273681641e+00
2.316895866394042969e+01,2.280886459350585938e+01,1.865125274658203125e+01,1.972239303588867188e+01,1.962674140930175781e+01,2.900975418090820312e+01,3.053372192382812500e+01,4.164859008789062500e+01,4.383566284179687500e+01,2.751928091049194336e+00
2.394749832153320312e+01,2.359777259826660156e+01,1.927826118469238281e+01,2.038630485534667969e+01,2.031055641174316406e+01,3.000113677978515625e+01,3.155977439880371094e+01,4.307258605957031250e+01,4.531573867797851562e+01,2.848438978195190430e+00
2.471938514709472656e+01,2.437979698181152344e+01,1.989981269836425781e+01,2.104446220397949219e+01,2.098844528198242188e+01,3.098375511169433594e+01,3.257672882080078125e+01,4.448372650146484375e+01,4.678245925903320312e+01,2.944929838180541992e+00
2.548461723327636719e+01,2.515494155883789062e+01,2.051591110229492188e+01,2.169686698913574219e+01,2.166040992736816406e+01,3.195762443542480469e+01,3.358460235595703125e+01,4.588204956054687500e+01,4.823586654663085938e+01,3.041368007659912109e+00
2.624319076538085938e+01,2.592321395874023438e+01,2.112656021118164062e+01,2.234351921081542969e+01,2.232645034790039062e+01,3.292276000976562500e+01,3.458341598510742188e+01,4.726759719848632812e+01,4.967599868774414062e+01,3.137721776962280273e+00
2.699511337280273438e+01,2.668462753295898438e+01,2.173176956176757812e+01,2.298443222045898438e+01,2.298658180236816406e+01,3.387918853759765625e+01,3.557319641113281250e+01,4.864042663574218750e+01,5.110292053222656250e+01,3.233962297439575195e+00
2.774040031433105469e+01,2.743920326232910156e+01,2.233155632019042969e+01,2.361961936950683594e+01,2.364081764221191406e+01,3.482694625854492188e+01,3.655397796630859375e+01,5.000060272216796875e+01,5.251669311523437500e+01,3.330061912536621094e+00
2.847906684875488281e+01,2.818696403503417969e+01,2.292593765258789062e+01,2.424909782409667969e+01,2.428917503356933594e+01,3.576606369018554688e+01,3.752579879760742188e+01,5.134818649291992188e+01,5.391738128662109375e+01,3.425995111465454102e+00
2.921113586425781250e+01,2.892794036865234375e+01,2.351493453979492188e+01,2.487289047241210938e+01,2.493167877197265625e+01,3.669658660888671875e+01,3.848870468139648438e+01,5.268325424194335938e+01,5.530506515502929688e+01,3.521737575531005859e+00
2.993662643432617188e+01,2.966215515136718750e+01,2.409856796264648438e+01,2.549101638793945312e+01,2.556834793090820312e+01,3.761854934692382812e+01,3.944273376464843750e+01,5.400587081909179688e+01,5.667980957031250000e+01,3.617265701293945312e+00
3.065556716918945312e+01,3.038964462280273438e+01,2.467686462402343750e+01,2.610350227355957031e+01,2.619921302795410156e+01,3.853200149536132812e+01,4.038793945312500000e+01,5.531612014770507812e+01,5.804170227050781250e+01,3.712558269500732422e+00
3.136798858642578125e+01,3.111044311523437500e+01,2.524985122680664062e+01,2.671037864685058594e+01,2.682430076599121094e+01,3.943699264526367188e+01,4.132437133789062500e+01,5.661407852172851562e+01,5.939082717895507812e+01,3.807595014572143555e+00
3.207392120361328125e+01,3.182458877563476562e+01,2.581755638122558594e+01,2.731167221069335938e+01,2.744364356994628906e+01,4.033357238769531250e+01,4.225208282470703125e+01,5.789982986450195312e+01,6.072726821899414062e+01,3.902356624603271484e+00
3.277340316772460938e+01,3.253211975097656250e+01,2.638001251220703125e+01,2.790741920471191406e+01,2.805727386474609375e+01,4.122179412841796875e+01,4.317113113403320312e+01,5.917346572875976562e+01,6.205111312866210938e+01,3.996825456619262695e+00
3.346646499633789062e+01,3.323307418823242188e+01,2.693724632263183594e+01,2.849764633178710938e+01,2.866522407531738281e+01,4.210171127319335938e+01,4.408156967163085938e+01,6.043506240844726562e+01,6.336244964599609375e+01,4.090983867645263672e+00
3.415314865112304688e+01,3.392749786376953125e+01,2.748929405212402344e+01,2.908239173889160156e+01,2.926752853393554688e+01,4.297338104248046875e+01,4.498345947265625000e+01,6.168471145629882812e+01,6.466136932373046875e+01,4.184815883636474609e+00
3.483349227905273438e+01,3.461542892456054688e+01,2.803618812561035156e+01,2.966168785095214844e+01,2.986422538757324219e+01,4.383685684204101562e+01,4.587685775756835938e+01,6.292250442504882812e+01,6.594796752929687500e+01,4.278306961059570312e+00
3.550753402709960938e+01,3.529691696166992188e+01,2.857796478271484375e+01,3.023557281494140625e+01,3.045535087585449219e+01,4.469219970703125000e+01,4.676182937622070312e+01,6.414852905273437500e+01,6.722233581542968750e+01,4.371442794799804688e+00
3.617531585693359375e+01,3.597200393676757812e+01,2.911465835571289062e+01,3.080408287048339844e+01,3.104094314575195312e+01,4.553947067260742188e+01,4.763843154907226562e+01,6.536287689208984375e+01,6.848457336425781250e+01,4.464210033416748047e+00
3.683687973022460938e+01,3.664073562622070312e+01,2.964630699157714844e+01,3.136725807189941406e+01,3.162104225158691406e+01,4.637873077392578125e+01,4.850673294067382812e+01,6.656565093994140625e+01,6.973477935791015625e+01,4.556596279144287109e+00
3.749226760864257812e+01,3.730315780639648438e+01,3.017294311523437500e+01,3.192513275146484375e+01,3.219568252563476562e+01,4.721003341674804688e+01,4.936679077148437500e+01,6.775692749023437500e+01,7.097303771972656250e+01,4.648589611053466797e+00
3.814152526855468750e+01,3.795932006835937500e+01,3.069460678100585938e+01,3.247774505615234375e+01,3.276490783691406250e+01,4.803344345092773438e+01,5.021866989135742188e+01,6.893680572509765625e+01,7.219944763183593750e+01,4.740179061889648438e+00
3.878469467163085938e+01,3.860926818847656250e+01,3.121133422851562500e+01,3.302513885498046875e+01,3.332875823974609375e+01,4.884902572631835938e+01,5.106243896484375000e+01,7.010538482666015625e+01,7.341411590576171875e+01,4.831354141235351562e+00
3.942182540893554688e+01,3.925305175781250000e+01,3.172316551208496094e+01,3.356735229492187500e+01,3.388727951049804688e+01,4.965684127807617188e+01,5.189816284179687500e+01,7.126275634765625000e+01,7.461713409423828125e+01,4.922105789184570312e+00
