1.894874311983585358e-02,4.995853453874588013e-02,1.640892326831817627e-01,1.663836985826492310e-01,8.021388947963714600e-02,1.348390132188796997e-01,1.385442316532135010e-01,6.873598322272300720e-03,1.126552522182464600e-01,5.060692131519317627e-02
2.474481984972953796e-02,5.473469197750091553e-02,2.811894714832305908e-01,2.707570791244506836e-01,1.548325419425964355e-01,2.218619585037231445e-01,2.006201446056365967e-01,1.294904109090566635e-02,1.413597315549850464e-01,9.060221910476684570e-02
3.090543299913406372e-02,5.540331825613975525e-02,4.067918956279754639e-01,3.830396533012390137e-01,2.361259311437606812e-01,3.176925778388977051e-01,2.676459550857543945e-01,1.823591068387031555e-02,1.725158095359802246e-01,1.329480111598968506e-01
3.746774047613143921e-02,5.088485777378082275e-02,5.379744768142700195e-01,5.011036992073059082e-01,3.238025307655334473e-01,4.229775071144104004e-01,3.392283916473388672e-01,2.243054844439029694e-02,2.062409371137619019e-01,1.768189817667007446e-01
4.447334632277488708e-02,3.998327255249023438e-02,6.698941588401794434e-01,6.213079690933227539e-01,4.169301986694335938e-01,5.369781255722045898e-01,4.145977497100830078e-01,2.521362155675888062e-02,2.426137477159500122e-01,2.233103960752487183e-01
5.196874216198921204e-02,2.141993679106235504e-02,7.962704300880432129e-01,7.387128472328186035e-01,5.137740969657897949e-01,6.586225628852844238e-01,4.926156401634216309e-01,2.632395178079605103e-02,2.816554009914398193e-01,2.750405073165893555e-01
6.000573560595512390e-02,-6.162337958812713623e-03,9.106739163398742676e-01,8.478707075119018555e-01,6.117559075355529785e-01,7.843347191810607910e-01,5.717728137969970703e-01,2.557693049311637878e-02,3.233071565628051758e-01,3.334562480449676514e-01
6.864151358604431152e-02,-4.424887150526046753e-02,1.008174300193786621e+00,9.440388679504394531e-01,7.076413631439208984e-01,9.059277772903442383e-01,6.502024531364440918e-01,2.282378077507019043e-02,3.674101531505584717e-01,3.982289135456085205e-01
7.793986797332763672e-02,-9.453143179416656494e-02,1.086487054824829102e+00,1.024261832237243652e+00,7.979726195335388184e-01,1.015341877937316895e+00,7.258073687553405762e-01,1.797516085207462311e-02,4.136793017387390137e-01,4.687319695949554443e-01
8.797078579664230347e-02,-1.588441878557205200e-01,1.146047472953796387e+00,1.087806344032287598e+00,8.796591758728027344e-01,1.107753038406372070e+00,7.965156435966491699e-01,1.109394989907741547e-02,4.616895914077758789e-01,5.441782474517822266e-01
9.881135821342468262e-02,-2.389194220304489136e-01,1.189204812049865723e+00,1.135821223258972168e+00,9.505202174186706543e-01,1.181390166282653809e+00,8.605815172195434570e-01,2.386806765571236610e-03,5.108680725097656250e-01,6.230914592742919922e-01
1.105456873774528503e-01,-3.360368311405181885e-01,1.219139099121093750e+00,1.170592784881591797e+00,1.009596705436706543e+00,1.237179994583129883e+00,9.168317914009094238e-01,-7.917519658803939819e-03,5.605086088180541992e-01,7.032823562622070312e-01
1.232629120349884033e-01,-4.504422247409820557e-01,1.239028096199035645e+00,1.194776415824890137e+00,1.057102441787719727e+00,1.277788400650024414e+00,9.647713899612426758e-01,-1.963179185986518860e-02,6.097895503044128418e-01,7.821534276008605957e-01
1.370564103126525879e-01,-5.804603099822998047e-01,1.251601815223693848e+00,1.210893750190734863e+00,1.094100713729858398e+00,1.306563973426818848e+00,1.004512429237365723e+00,-3.264392912387847900e-02,6.578369140625000000e-01,8.570531010627746582e-01
1.520199775695800781e-01,-7.215207815170288086e-01,1.258993387222290039e+00,1.221064925193786621e+00,1.122040629386901855e+00,1.326656699180603027e+00,1.036560058593750000e+00,-4.699638485908508301e-02,7.037792205810546875e-01,9.256601929664611816e-01
1.682432591915130615e-01,-8.657727241516113281e-01,1.262780427932739258e+00,1.226949691772460938e+00,1.142420291900634766e+00,1.340534210205078125e+00,1.061628103256225586e+00,-6.291051208972930908e-02,7.468206882476806641e-01,9.862509965896606445e-01
1.858035475015640259e-01,-1.003162145614624023e+00,1.264081716537475586e+00,1.229795336723327637e+00,1.156679272651672363e+00,1.349945545196533203e+00,1.080599308013916016e+00,-8.067657798528671265e-02,7.863000631332397461e-01,1.037850379943847656e+00
2.047672867774963379e-01,-1.124135255813598633e+00,1.263673424720764160e+00,1.230488419532775879e+00,1.166144132614135742e+00,1.356127619743347168e+00,1.094443082809448242e+00,-1.005671024322509766e-01,8.217450380325317383e-01,1.080276250839233398e+00
